"","acc","penG","penE","subset","comptimes"
"1",0.385556186325142,0.0737950428536835,0.00211291322870549,"F4-F5",2.63
"2",0.230574418038309,0.0697015355765282,0.00201816532902524,"F4-F5",1.497
"3",0.348972324176256,0.074503761937764,0.00175027011858627,"F1-F2-F3-F4-F5",1.78
"4",0.279625561944289,0.0712842770508411,0.00189898772058511,"F1-F2-F4-F5",1.331
"5",0.29896353209381,0.0799301875689713,0.00243889301900602,"F2-F3-F4-F5",1.401
"6",0.285750598155139,0.0762287351628178,0.00223265555158368,"F1-F4-F5",1.215
"7",0.325343100959524,0.0760392019603384,0.00231030344938938,"F2-F4-F5",1.413
"8",0.292562312030797,0.0705175703330781,0.00214492667034096,"F1-F2-F4-F5",1.621
"9",0.355687370391925,0.066222288700388,0.0019591899209587,"F1-F4-F5",1.42
"10",0.366280971836268,0.0747332386200159,0.0029641153302914,"F1-F4-F5",1.386
"11",0.251074481170006,0.0674345883843879,0.00217679069226129,"F1-F2-F4-F5",1.574
"12",0.344925813958145,0.0739633688734787,0.00249756103371357,"F3-F4-F5",1.514
"13",0.272622418544173,0.0722520246335795,0.00214661307023736,"F1-F3-F4-F5",1.995
"14",0.261360103995954,0.0636165905974774,0.00188725428442089,"F1-F3-F4-F5",1.727
"15",0.368702676267434,0.063966650514616,0.00196175153585489,"F1-F4-F5",1.625
"16",0.227491603759736,0.0632733242709361,0.00192630500016128,"F1-F3-F4-F5",1.58
"17",0.362362262793864,0.0765735249405406,0.00218150546967083,"F2-F4-F5",1.51300000000001
"18",0.332748063420251,0.0690500835718454,0.00201563553580015,"F1-F2-F4",1.61499999999999
"19",0.379146785232573,0.0664353112087321,0.00220041376877464,"F1-F2-F3-F4-F5",2.041
"20",0.198688619080421,0.072121731484384,0.00231064975600744,"F1-F2-F3-F4-F5",1.893
"21",0.377842801124087,0.0723651247005461,0.00244080363763358,"F1-F2-F4-F5",1.59399999999999
"22",0.398738509233203,0.0758191966438033,0.00209675858529936,"F4-F5",1.42400000000001
"23",0.290747504906264,0.069779847413698,0.002367721368474,"F1-F3-F4-F5",1.69199999999998
"24",0.17633113509422,0.0630186392474791,0.00195862929480162,"F1-F2-F4-F5",1.696
"25",0.364167280189325,0.0762367394988552,0.00201073154103384,"F1-F3-F4-F5",1.64400000000001
"26",0.381112966710097,0.0669079792198564,0.00216266707904836,"F4-F5",1.45099999999999
"27",0.276605916444659,0.0691934024225285,0.00203409186115018,"F4-F5",1.50900000000001
"28",0.378136370288339,0.0689879837142509,0.00212067488337814,"F1-F4-F5",1.672
"29",0.385139268743841,0.0723871774914314,0.00239485601425769,"F1-F4-F5",1.572
"30",0.385431000382114,0.0690974811332868,0.00179567977378023,"F1-F4-F5",1.47999999999999
"31",0.333914170285532,0.0664052682416809,0.00220540083363514,"F2-F3-F4-F5",1.64699999999999
"32",0.416645454578669,0.0653124237327363,0.00235056159842467,"F2-F4",1.63399999999999
"33",0.409671910647245,0.0732109671908026,0.00193764115865109,"F3-F4",1.42500000000001
"34",0.274823746523058,0.0696618005564671,0.00262892333735251,"F4-F5",1.44400000000002
"35",0.218213204359054,0.0712808276901279,0.00224576005068466,"F4-F5",1.34700000000001
"36",0.352146323109149,0.0811081754992932,0.00216718556754664,"F1-F2-F4-F5",1.75700000000001
"37",0.432783973293407,0.070906640626267,0.00210309525443843,"F1-F2-F4",1.608
"38",0.170520991227401,0.0719401586965166,0.00222961502111375,"F2-F3-F4-F5",1.79300000000001
"39",0.34238387904331,0.0695936387454108,0.00191208994922935,"F1-F4-F5",1.596
"40",0.412787413406299,0.0611563686412516,0.00222578117579697,"F4-F5",1.45500000000004
"41",0.433062127489151,0.0710516851935593,0.00205275163609255,"F2-F3-F4-F5",1.846
"42",0.469374366007841,0.0725985060986039,0.00194030555797681,"F1-F4-F5",1.46300000000002
"43",0.316561075887939,0.0690149682271157,0.00197086906264324,"F1-F4-F5",1.87
"44",0.353635234975406,0.0659436689633305,0.00171811787008182,"F1-F3-F4",1.767
"45",0.432734765782515,0.0663292685591427,0.00178886161075121,"F1-F2-F4-F5",1.91199999999998
"46",0.260935418089386,0.0726323175361102,0.00192435257515967,"F1-F2-F3-F4-F5-F6",2.31
"47",0.301838702701743,0.0633231498776498,0.00174802057807868,"F4-F5",1.52200000000005
"48",0.259717665687758,0.0673107580842867,0.00186130429000899,"F3-F4-F5",1.64300000000003
"49",0.470977853770037,0.0742418798061298,0.0018288277196809,"F1-F3-F4",1.76400000000001
"50",0.226914906934931,0.0750776213081383,0.00243332443376603,"F1-F3-F4-F5",1.57600000000002
"51",0.310433527463791,0.0676448436830068,0.00187671057918283,"F2-F4-F5",3.062
"52",0.318774640762247,0.0692612085082694,0.00195284481165459,"F1-F3-F4-F5",1.674
"53",0.288020685578159,0.0670418086051155,0.00207943823243768,"F1-F4-F5",1.273
"54",0.38104159680618,0.0669618605864095,0.00211642356222208,"F1-F4-F5",1.268
"55",0.386150423439002,0.0689292224910925,0.0018743437638449,"F4-F5",1.281
"56",0.411202283101049,0.0681927975538622,0.00194920449940192,"F2-F3-F4-F5",1.64
"57",0.35001321565376,0.0767021810115261,0.00216119436472514,"F4-F5",1.249
"58",0.246496305337127,0.0747039423043796,0.00198134880470651,"F1-F3-F5",1.44799999999999
"59",0.378356914458739,0.0783348663452323,0.00197002664612694,"F4-F5",1.40000000000001
"60",0.267489933069749,0.0756572246536526,0.00202597760643564,"F1-F3-F4-F5",1.667
"61",0.386676027445486,0.0675122725387465,0.00192286599086177,"F1-F2-F4-F5",1.732
"62",0.278706067808256,0.0701520112836515,0.00198324924128082,"F1-F2-F4-F5",1.873
"63",0.270505920008377,0.0630221923440474,0.00192202720255087,"F1-F3-F4-F5",1.66200000000001
"64",0.381398128935327,0.0724920097860515,0.00176306077912617,"F1-F4-F5",1.52800000000001
"65",0.214120665844675,0.0671116121034847,0.00212595718236475,"F1-F4-F5",1.465
"66",0.366595951438923,0.0704103534817895,0.0021726341838347,"F4-F5",1.47000000000001
"67",0.339842051121851,0.0680195980817707,0.0018369495983695,"F4-F5",1.53100000000001
"68",0.321456436985959,0.0715044198075275,0.00227040565433781,"F2-F3-F5",1.5
"69",0.324931020591858,0.0648023682368909,0.00180636377323727,"F1-F3-F4-F5",1.905
"70",0.314519255371307,0.0672041811323102,0.0021695554282434,"F1-F2-F3-F4-F5",1.86699999999999
"71",0.243632077761499,0.0725740559866342,0.00211221369464359,"F2-F5",1.483
"72",0.360613050333731,0.0811286495036989,0.00230029623621654,"F2-F3-F4-F5",1.61799999999999
"73",0.360164276950891,0.0743535366992205,0.00206747106855268,"F1-F4-F5",1.50700000000001
"74",0.304872010147989,0.0749935130686606,0.00238556169232042,"F1-F2-F3-F4-F5",1.893
"75",0.353862564761249,0.0750590235685213,0.00223459987102094,"F1-F4-F5",1.55600000000001
"76",0.280164858584638,0.0748264492239671,0.00255775303249993,"F4-F5",1.417
"77",0.321902911209901,0.0636707094731487,0.00171106019955313,"F1-F4-F5",1.73399999999998
"78",0.298545212063851,0.0691467161712682,0.00212109474825167,"F1-F2-F3-F4-F5",1.95100000000002
"79",0.23789450067594,0.0737743663715249,0.00237709068467656,"F3-F4",1.41900000000001
"80",0.268599929163429,0.0700800280772992,0.00251297600063734,"F1-F2-F3-F4-F5",1.98599999999999
"81",0.187881969938185,0.0672403360770697,0.00191210254899463,"F1-F3-F4-F5",1.797
"82",0.299955542386614,0.0713610632837605,0.00236558558849142,"F2-F4-F5",1.477
"83",0.254620587638721,0.0788445395818459,0.00252066490432609,"F1-F3-F4-F5",1.64100000000002
"84",0.400187872506399,0.0655239633699134,0.00224424366490373,"F1-F3-F4-F5",1.803
"85",0.364128551119877,0.0712484486004405,0.00214963991733179,"F1-F4-F5",1.583
"86",0.27059404256047,0.0705723717500134,0.00191119005585096,"F1-F4-F5",1.5
"87",0.404750565955302,0.0790009071052398,0.00176863092369758,"F1-F4-F5",1.667
"88",0.375711301046337,0.0751625015487533,0.00197462190429889,"F1-F4-F5",1.929
"89",0.325776010750275,0.0633748161825469,0.00199334611467318,"F1-F2-F3-F4-F5",2.25299999999999
"90",0.309606775541969,0.075451266271066,0.00202322580508774,"F1-F2-F4-F5",1.83699999999999
"91",0.274027182377795,0.0663171226507713,0.00205978802743959,"F3-F5",1.41300000000001
"92",0.297916528252163,0.0681347376879987,0.00246707360405046,"F4-F5",1.40999999999997
