"","acc","penG","penE","subset","comptimes"
"1",0.393415228729219,0.0030768471250808,6.47409586147421e-09,"F1-F2",2.464
"2",0.244329043379378,0.00234099362037653,6.47409586147421e-09,"F1-F3",1.469
"3",0.353535747877215,0.00310988606734316,6.47409586147421e-09,"F1-F2-F3-F4",1.874
"4",0.273608056458689,0.00402802006225914,1.85121691873053e-08,"F1-F2-F3-F4",1.37
"5",0.304111773409001,0.00199160737350003,6.47409586147421e-09,"F1-F2-F3-F4",1.539
"6",0.2852215764314,0.003005431939202,2.34792231944407e-08,"F1-F2-F4",1.122
"7",0.326764018784519,0.0029400363463455,6.47409586147421e-09,"F1-F2-F3",1.303
"8",0.293565005082124,0.00494702500428815,6.47409586147421e-09,"F1-F2-F3",1.177
"9",0.363263293137862,0.00513732148081973,6.47409586147421e-09,"F1-F2-F4",1.316
"10",0.373460691423033,0.00352645576667655,1.85121691873053e-08,"F1-F3",1.163
"11",0.251522702360531,0.00350292784458933,6.47409586147421e-09,"F1-F2-F3",1.349
"12",0.341301110331867,0.00369140674592752,6.47409586147421e-09,"F1-F3-F4",1.185
"13",0.272740824950197,0.00192235919539558,1.85121691873053e-08,"F1-F3",1.136
"14",0.265557942745252,0.00328607115807896,1.14411497632432e-08,"F1-F3",1.33999999999999
"15",0.366632362775569,0.00310792533020132,2.49862647729267e-08,"F1-F3",1.252
"16",0.240579683230293,0.00308735365361727,6.47409586147421e-09,"F1-F2-F4",1.455
"17",0.379368058342068,0.00287175612944328,6.47409586147421e-09,"F1-F2-F3",1.35599999999999
"18",0.344431155108746,0.00419722422710723,6.47409586147421e-09,"F1-F3-F4",1.30500000000001
"19",0.391947016857091,0.00427391746197564,6.47409586147421e-09,"F1-F2-F3",1.37
"20",0.207495787638228,0.00406681564388531,6.47409586147421e-09,"F1-F2-F3",1.31099999999999
"21",0.384158164054949,0.00323937225079769,3.6752265818962e-08,"F3",1.13
"22",0.415659338961383,0.0018247361482396,6.47409586147421e-09,"F1-F3",1.157
"23",0.293509872267286,0.00343973902341704,6.47409586147421e-09,"F1-F2-F4",1.352
"24",0.189641978957769,0.00396780915061312,6.47409586147421e-09,"F1-F2-F3",1.483
"25",0.374727421464925,0.0022319522083999,6.47409586147421e-09,"F1-F2",1.363
"26",0.375162767524652,0.00375046096816657,6.47409586147421e-09,"F2",1.06399999999999
"27",0.289763976620113,0.00272893108418769,1.14411497632432e-08,"F1-F3",1.28299999999999
"28",0.38097108703071,0.003143145984599,6.47409586147421e-09,"F1-F3",1.42099999999999
"29",0.386175208395755,0.00205589991976533,1.85121691873053e-08,"F1-F2-F4",1.42399999999998
"30",0.391322578860442,0.00261225835442592,6.47409586147421e-09,"F1-F2-F4",1.59100000000001
"31",0.333079770172919,0.00398412393497878,6.47409586147421e-09,"F1-F2",1.208
"32",0.42199816384856,0.00435574887993238,6.47409586147421e-09,"F1-F3",1.32300000000001
"33",0.422908970603115,0.00423678249024753,6.47409586147421e-09,"F1-F3",1.279
"34",0.286013876794268,0.00256186405346228,6.47409586147421e-09,"F1-F3",1.27699999999999
"35",0.225078149508819,0.0034498753591517,6.47409586147421e-09,"F1-F3",1.23000000000002
"36",0.354236806166014,0.00404747743110525,3.63299344892225e-08,"F1-F2-F3-F4",1.595
"37",0.440462012831425,0.00293318106975565,6.47409586147421e-09,"F2",1.11099999999999
"38",0.196678347043094,0.00261531050719517,2.49862647729267e-08,"F1-F2",1.25
"39",0.347664122890835,0.00381403101911766,6.47409586147421e-09,"F1-F3-F4",1.31700000000001
"40",0.40878340317361,0.00351938061427349,6.47409586147421e-09,"F2",1.21899999999999
"41",0.433236919013012,0.00456771134242463,6.47409586147421e-09,"F1-F2-F3-F4",1.51299999999998
"42",0.479801918352055,0.00300088236355701,6.47409586147421e-09,"F1-F3",1.31099999999998
"43",0.325223921417367,0.00400595642708883,4.84654881378537e-08,"F1-F2-F4",1.30500000000001
"44",0.35370673734704,0.0049244581971259,2.49862647729267e-08,"F2-F3-F4",1.35599999999999
"45",0.432555680128576,0.00318805532358767,6.47409586147421e-09,"F1-F2",1.49399999999997
"46",0.259619782784053,0.00298901897043963,6.47409586147421e-09,"F1-F2",1.38200000000001
"47",0.308999668057127,0.00435075029112499,6.47409586147421e-09,"F1-F3-F4",1.48400000000004
"48",0.268685466574953,0.00302499497090889,6.47409586147421e-09,"F1-F2",1.41199999999998
"49",0.473502259420116,0.00264237371308745,6.47409586147421e-09,"F1-F3",1.37
"50",0.241891206801921,0.00225736045654248,6.47409586147421e-09,"F1-F3-F4",1.60399999999998
"51",0.316284284849668,0.00332828401478735,2.49862647729267e-08,"F1-F3",2.492
"52",0.324208612122531,0.00309438646617706,6.47409586147421e-09,"F1-F2",1.424
