"","acc","penG","penE","subset","comptimes"
"1",0.449866046233194,0.0030768471250808,6.47409586147421e-09,"F1-F2",2.464
"2",0.401054240122317,0.00234099362037653,6.47409586147421e-09,"F1-F3",1.469
"3",0.398971396134551,0.00310988606734316,6.47409586147421e-09,"F1-F2-F3-F4",1.874
"4",0.281909965728536,0.00402802006225914,1.85121691873053e-08,"F1-F2-F3-F4",1.37
"5",0.310783823804582,0.00199160737350003,6.47409586147421e-09,"F1-F2-F3-F4",1.539
"6",0.364648360164475,0.003005431939202,2.34792231944407e-08,"F1-F2-F4",1.122
"7",0.441495453606743,0.0029400363463455,6.47409586147421e-09,"F1-F2-F3",1.303
"8",0.379192144310187,0.00494702500428815,6.47409586147421e-09,"F1-F2-F3",1.177
"9",0.471077904580086,0.00513732148081973,6.47409586147421e-09,"F1-F2-F4",1.316
"10",0.410947472050504,0.00352645576667655,1.85121691873053e-08,"F1-F3",1.163
"11",0.422109677686652,0.00350292784458933,6.47409586147421e-09,"F1-F2-F3",1.349
"12",0.401703174483786,0.00369140674592752,6.47409586147421e-09,"F1-F3-F4",1.185
"13",0.314268866190202,0.00192235919539558,1.85121691873053e-08,"F1-F3",1.136
"14",0.401591846722293,0.00328607115807896,1.14411497632432e-08,"F1-F3",1.33999999999999
"15",0.361858829500632,0.00310792533020132,2.49862647729267e-08,"F1-F3",1.252
"16",0.545214466369589,0.00308735365361727,6.47409586147421e-09,"F1-F2-F4",1.455
"17",0.461912386678119,0.00287175612944328,6.47409586147421e-09,"F1-F2-F3",1.35599999999999
"18",0.341111799258734,0.00419722422710723,6.47409586147421e-09,"F1-F3-F4",1.30500000000001
"19",0.381708201167034,0.00427391746197564,6.47409586147421e-09,"F1-F2-F3",1.37
"20",0.342872559604165,0.00406681564388531,6.47409586147421e-09,"F1-F2-F3",1.31099999999999
"21",0.366911347999861,0.00323937225079769,3.6752265818962e-08,"F3",1.13
"22",0.385477956998486,0.0018247361482396,6.47409586147421e-09,"F1-F3",1.157
"23",0.299503858644449,0.00343973902341704,6.47409586147421e-09,"F1-F2-F4",1.352
"24",0.345552695291276,0.00396780915061312,6.47409586147421e-09,"F1-F2-F3",1.483
"25",0.430780315412573,0.0022319522083999,6.47409586147421e-09,"F1-F2",1.363
"26",0.426817941692337,0.00375046096816657,6.47409586147421e-09,"F2",1.06399999999999
"27",0.432176369476922,0.00272893108418769,1.14411497632432e-08,"F1-F3",1.28299999999999
"28",0.379759096722559,0.003143145984599,6.47409586147421e-09,"F1-F3",1.42099999999999
"29",0.449052140386069,0.00205589991976533,1.85121691873053e-08,"F1-F2-F4",1.42399999999998
"30",0.442992482511434,0.00261225835442592,6.47409586147421e-09,"F1-F2-F4",1.59100000000001
"31",0.44921955119518,0.00398412393497878,6.47409586147421e-09,"F1-F2",1.208
"32",0.380121840277184,0.00435574887993238,6.47409586147421e-09,"F1-F3",1.32300000000001
