"","Step","Run","p","Duration"
"1","Redundancy filtering",1,100,0.190000000000005
"2","Genetic regularization",1,100,4.41999999999999
"3","Residual regularization",1,100,4.88
"4","Factor model",1,100,0.00999999999999801
"5","Factor scores",1,100,0.0200000000000031
"6","Subset selection",1,100,0.0300000000000011
"7","gfBLUP genomic prediction",1,100,0.289999999999999
"8","Other",1,100,0
"9","Redundancy filtering",2,100,0.190000000000005
"10","Genetic regularization",2,100,3.7
"11","Residual regularization",2,100,4.66
"12","Factor model",2,100,0.00999999999999801
"13","Factor scores",2,100,0.0300000000000011
"14","Subset selection",2,100,0.0399999999999991
"15","gfBLUP genomic prediction",2,100,0.170000000000002
"16","Other",2,100,0
"17","Redundancy filtering",3,100,0.299999999999997
"18","Genetic regularization",3,100,6.06
"19","Residual regularization",3,100,10.28
"20","Factor model",3,100,0.0200000000000102
"21","Factor scores",3,100,0.0300000000000011
"22","Subset selection",3,100,0.0300000000000011
"23","gfBLUP genomic prediction",3,100,0.219999999999999
"24","Other",3,100,0
"25","Redundancy filtering",4,100,0.209999999999994
"26","Genetic regularization",4,100,4.49000000000001
"27","Residual regularization",4,100,4.45
"28","Factor model",4,100,0.019999999999996
"29","Factor scores",4,100,0.00999999999999091
"30","Subset selection",4,100,0.0300000000000011
"31","gfBLUP genomic prediction",4,100,0.210000000000008
"32","Other",4,100,0
"33","Redundancy filtering",5,100,0.190000000000012
"34","Genetic regularization",5,100,4.22
"35","Residual regularization",5,100,4.25
"36","Factor model",5,100,0.019999999999996
"37","Factor scores",5,100,0.0300000000000011
"38","Subset selection",5,100,0.0300000000000011
"39","gfBLUP genomic prediction",5,100,0.189999999999998
"40","Other",5,100,0
"41","Redundancy filtering",1,200,0.5
"42","Genetic regularization",1,200,5.22
"43","Residual regularization",1,200,4.14999999999999
"44","Factor model",1,200,0.0400000000000063
"45","Factor scores",1,200,0.0400000000000063
"46","Subset selection",1,200,0.0299999999999869
"47","gfBLUP genomic prediction",1,200,0.390000000000001
"48","Other",1,200,0
"49","Redundancy filtering",2,200,0.420000000000002
"50","Genetic regularization",2,200,5.36
"51","Residual regularization",2,200,5.26000000000001
"52","Factor model",2,200,0.0299999999999869
"53","Factor scores",2,200,0.0500000000000114
"54","Subset selection",2,200,0.0300000000000011
"55","gfBLUP genomic prediction",2,200,0.209999999999994
"56","Other",2,200,0
"57","Redundancy filtering",3,200,0.629999999999995
"58","Genetic regularization",3,200,5.22
"59","Residual regularization",3,200,4.95
"60","Factor model",3,200,0.0300000000000011
"61","Factor scores",3,200,0.0499999999999829
"62","Subset selection",3,200,0.0300000000000011
"63","gfBLUP genomic prediction",3,200,0.189999999999998
"64","Other",3,200,0
"65","Redundancy filtering",4,200,0.5
"66","Genetic regularization",4,200,5.25
"67","Residual regularization",4,200,3.48999999999998
"68","Factor model",4,200,0.0300000000000011
"69","Factor scores",4,200,0.0500000000000114
"70","Subset selection",4,200,0.0300000000000011
"71","gfBLUP genomic prediction",4,200,0.240000000000009
"72","Other",4,200,0.0200000000000102
"73","Redundancy filtering",5,200,0.439999999999998
"74","Genetic regularization",5,200,4.31
"75","Residual regularization",5,200,3.72999999999999
"76","Factor model",5,200,0.0300000000000011
"77","Factor scores",5,200,0.0699999999999932
"78","Subset selection",5,200,0.0300000000000011
"79","gfBLUP genomic prediction",5,200,0.200000000000017
"80","Other",5,200,0
"81","Redundancy filtering",1,300,0.72999999999999
"82","Genetic regularization",1,300,5.59
"83","Residual regularization",1,300,6
"84","Factor model",1,300,0.0800000000000125
"85","Factor scores",1,300,0.109999999999985
"86","Subset selection",1,300,0.0500000000000114
"87","gfBLUP genomic prediction",1,300,0.159999999999997
"88","Other",1,300,0.0200000000000102
"89","Redundancy filtering",2,300,0.780000000000001
"90","Genetic regularization",2,300,5.85999999999999
"91","Residual regularization",2,300,6.09
"92","Factor model",2,300,0.0999999999999943
"93","Factor scores",2,300,0.120000000000005
"94","Subset selection",2,300,0.0500000000000114
"95","gfBLUP genomic prediction",2,300,0.169999999999987
"96","Other",2,300,0.0200000000000102
"97","Redundancy filtering",3,300,0.719999999999999
"98","Genetic regularization",3,300,5.18000000000001
"99","Residual regularization",3,300,5.98999999999998
"100","Factor model",3,300,0.0600000000000023
"101","Factor scores",3,300,0.0900000000000034
"102","Subset selection",3,300,0.0300000000000011
"103","gfBLUP genomic prediction",3,300,0.150000000000006
"104","Other",3,300,0
"105","Redundancy filtering",4,300,0.710000000000008
"106","Genetic regularization",4,300,6.03
"107","Residual regularization",4,300,5.56
"108","Factor model",4,300,0.0800000000000125
"109","Factor scores",4,300,0.109999999999985
"110","Subset selection",4,300,0.0300000000000011
"111","gfBLUP genomic prediction",4,300,0.159999999999997
"112","Other",4,300,0.00999999999999091
"113","Redundancy filtering",5,300,0.75
"114","Genetic regularization",5,300,5.97
"115","Residual regularization",5,300,6.00999999999999
"116","Factor model",5,300,0.109999999999985
"117","Factor scores",5,300,0.0900000000000034
"118","Subset selection",5,300,0.0500000000000114
"119","gfBLUP genomic prediction",5,300,0.139999999999986
"120","Other",5,300,0.0200000000000102
"121","Redundancy filtering",1,400,1.10999999999999
"122","Genetic regularization",1,400,7.37
"123","Residual regularization",1,400,7.31999999999999
"124","Factor model",1,400,0.120000000000005
"125","Factor scores",1,400,0.199999999999989
"126","Subset selection",1,400,0.0500000000000114
"127","gfBLUP genomic prediction",1,400,0.240000000000009
"128","Other",1,400,0.0200000000000102
"129","Redundancy filtering",2,400,1.20000000000005
"130","Genetic regularization",2,400,7.41999999999996
"131","Residual regularization",2,400,7.64000000000004
"132","Factor model",2,400,0.129999999999995
"133","Factor scores",2,400,0.180000000000007
"134","Subset selection",2,400,0.0299999999999727
"135","gfBLUP genomic prediction",2,400,0.240000000000009
"136","Other",2,400,0.0499999999999545
"137","Redundancy filtering",3,400,1.20999999999998
"138","Genetic regularization",3,400,5.62
"139","Residual regularization",3,400,6.19999999999999
"140","Factor model",3,400,0.129999999999995
"141","Factor scores",3,400,0.200000000000045
"142","Subset selection",3,400,0.0299999999999727
"143","gfBLUP genomic prediction",3,400,0.180000000000007
"144","Other",3,400,0.150000000000034
"145","Redundancy filtering",4,400,1.13999999999999
"146","Genetic regularization",4,400,7.27000000000004
"147","Residual regularization",4,400,7.07999999999998
"148","Factor model",4,400,0.110000000000014
"149","Factor scores",4,400,0.199999999999989
"150","Subset selection",4,400,0.0299999999999727
"151","gfBLUP genomic prediction",4,400,0.189999999999998
"152","Other",4,400,0
"153","Redundancy filtering",5,400,1.06999999999999
"154","Genetic regularization",5,400,7.05000000000001
"155","Residual regularization",5,400,6.80000000000001
"156","Factor model",5,400,0.139999999999986
"157","Factor scores",5,400,0.189999999999998
"158","Subset selection",5,400,0.0299999999999727
"159","gfBLUP genomic prediction",5,400,0.170000000000016
"160","Other",5,400,0.110000000000014
"161","Redundancy filtering",1,500,1.50999999999999
"162","Genetic regularization",1,500,8.60000000000002
"163","Residual regularization",1,500,8.60999999999996
"164","Factor model",1,500,0.28000000000003
"165","Factor scores",1,500,0.300000000000011
"166","Subset selection",1,500,0.0299999999999727
"167","gfBLUP genomic prediction",1,500,0.28000000000003
"168","Other",1,500,0.0299999999999727
"169","Redundancy filtering",2,500,1.53000000000003
"170","Genetic regularization",2,500,8.31
"171","Residual regularization",2,500,8.54999999999995
"172","Factor model",2,500,0.300000000000011
"173","Factor scores",2,500,0.300000000000011
"174","Subset selection",2,500,0.0299999999999727
"175","gfBLUP genomic prediction",2,500,0.170000000000016
"176","Other",2,500,0.00999999999999091
"177","Redundancy filtering",3,500,1.52999999999997
"178","Genetic regularization",3,500,8.57999999999998
"179","Residual regularization",3,500,8.56
"180","Factor model",3,500,0.180000000000007
"181","Factor scores",3,500,0.28000000000003
"182","Subset selection",3,500,0.0299999999999727
"183","gfBLUP genomic prediction",3,500,0.170000000000016
"184","Other",3,500,0.0100000000000477
"185","Redundancy filtering",4,500,1.56999999999999
"186","Genetic regularization",4,500,8.23000000000002
"187","Residual regularization",4,500,8.44999999999999
"188","Factor model",4,500,0.21999999999997
"189","Factor scores",4,500,0.350000000000023
"190","Subset selection",4,500,0.0299999999999727
"191","gfBLUP genomic prediction",4,500,0.170000000000016
"192","Other",4,500,0
"193","Redundancy filtering",5,500,1.65999999999997
"194","Genetic regularization",5,500,8.44
"195","Residual regularization",5,500,8.78000000000003
"196","Factor model",5,500,0.149999999999977
"197","Factor scores",5,500,0.319999999999993
"198","Subset selection",5,500,0.00999999999999091
"199","gfBLUP genomic prediction",5,500,0.189999999999998
"200","Other",5,500,0
"201","Redundancy filtering",1,600,2.17000000000002
"202","Genetic regularization",1,600,10.05
"203","Residual regularization",1,600,12.37
"204","Factor model",1,600,0.299999999999955
"205","Factor scores",1,600,0.620000000000005
"206","Subset selection",1,600,0.0500000000000114
"207","gfBLUP genomic prediction",1,600,0.199999999999989
"208","Other",1,600,0.0199999999999818
"209","Redundancy filtering",2,600,2.41000000000003
"210","Genetic regularization",2,600,10.91
"211","Residual regularization",2,600,8.98000000000002
"212","Factor model",2,600,0.310000000000002
"213","Factor scores",2,600,0.46999999999997
"214","Subset selection",2,600,0.0300000000000296
"215","gfBLUP genomic prediction",2,600,0.329999999999984
"216","Other",2,600,0
"217","Redundancy filtering",3,600,2.22000000000003
"218","Genetic regularization",3,600,9.07999999999993
"219","Residual regularization",3,600,8.74000000000001
"220","Factor model",3,600,0.419999999999959
"221","Factor scores",3,600,0.510000000000105
"222","Subset selection",3,600,0.0299999999999727
"223","gfBLUP genomic prediction",3,600,0.220000000000027
"224","Other",3,600,0.0100000000000477
"225","Redundancy filtering",4,600,2.17000000000007
"226","Genetic regularization",4,600,8.58999999999992
"227","Residual regularization",4,600,9.71000000000004
"228","Factor model",4,600,0.279999999999973
"229","Factor scores",4,600,0.5
"230","Subset selection",4,600,0.0300000000000864
"231","gfBLUP genomic prediction",4,600,0.199999999999932
"232","Other",4,600,0.0199999999999818
"233","Redundancy filtering",5,600,2.13999999999999
"234","Genetic regularization",5,600,10.64
"235","Residual regularization",5,600,10.73
"236","Factor model",5,600,0.269999999999982
"237","Factor scores",5,600,0.450000000000045
"238","Subset selection",5,600,0.0299999999999727
"239","gfBLUP genomic prediction",5,600,0.220000000000027
"240","Other",5,600,0.0199999999999818
"241","Redundancy filtering",1,700,2.84000000000003
"242","Genetic regularization",1,700,11.45
"243","Residual regularization",1,700,10.9599999999999
"244","Factor model",1,700,0.370000000000005
"245","Factor scores",1,700,0.629999999999995
"246","Subset selection",1,700,0.0100000000001046
"247","gfBLUP genomic prediction",1,700,0.239999999999895
"248","Other",1,700,0
"249","Redundancy filtering",2,700,2.86000000000001
"250","Genetic regularization",2,700,12.42
"251","Residual regularization",2,700,11.8100000000001
"252","Factor model",2,700,0.399999999999977
"253","Factor scores",2,700,0.620000000000005
"254","Subset selection",2,700,0.0299999999999727
"255","gfBLUP genomic prediction",2,700,0.200000000000045
"256","Other",2,700,0.110000000000014
"257","Redundancy filtering",3,700,2.82999999999993
"258","Genetic regularization",3,700,11
"259","Residual regularization",3,700,11.3000000000001
"260","Factor model",3,700,0.409999999999968
"261","Factor scores",3,700,0.649999999999977
"262","Subset selection",3,700,0.0299999999999727
"263","gfBLUP genomic prediction",3,700,0.240000000000009
"264","Other",3,700,0.00999999999999091
"265","Redundancy filtering",4,700,2.80999999999995
"266","Genetic regularization",4,700,13.5
"267","Residual regularization",4,700,13.6900000000001
"268","Factor model",4,700,0.379999999999995
"269","Factor scores",4,700,0.620000000000005
"270","Subset selection",4,700,0.0299999999999727
"271","gfBLUP genomic prediction",4,700,0.220000000000027
"272","Other",4,700,0.110000000000014
"273","Redundancy filtering",5,700,2.82999999999993
"274","Genetic regularization",5,700,13.21
"275","Residual regularization",5,700,11.92
"276","Factor model",5,700,0.370000000000005
"277","Factor scores",5,700,0.639999999999986
"278","Subset selection",5,700,0.0200000000000955
"279","gfBLUP genomic prediction",5,700,0.229999999999905
"280","Other",5,700,0
"281","Redundancy filtering",1,800,3.62
"282","Genetic regularization",1,800,14.61
"283","Residual regularization",1,800,14.5699999999999
"284","Factor model",1,800,0.540000000000077
"285","Factor scores",1,800,0.889999999999986
"286","Subset selection",1,800,0.0399999999999636
"287","gfBLUP genomic prediction",1,800,0.309999999999945
"288","Other",1,800,0
"289","Redundancy filtering",2,800,3.70000000000005
"290","Genetic regularization",2,800,15.52
"291","Residual regularization",2,800,15.0700000000001
"292","Factor model",2,800,0.549999999999955
"293","Factor scores",2,800,0.879999999999995
"294","Subset selection",2,800,0.0299999999999727
"295","gfBLUP genomic prediction",2,800,0.220000000000027
"296","Other",2,800,0.0199999999999818
"297","Redundancy filtering",3,800,3.69000000000005
"298","Genetic regularization",3,800,17.64
"299","Residual regularization",3,800,16.67
"300","Factor model",3,800,0.549999999999955
"301","Factor scores",3,800,0.870000000000005
"302","Subset selection",3,800,0.0300000000000864
"303","gfBLUP genomic prediction",3,800,0.240000000000009
"304","Other",3,800,0.00999999999999091
"305","Redundancy filtering",4,800,3.70000000000005
"306","Genetic regularization",4,800,16.77
"307","Residual regularization",4,800,17.6800000000001
"308","Factor model",4,800,0.549999999999955
"309","Factor scores",4,800,0.860000000000014
"310","Subset selection",4,800,0.0299999999999727
"311","gfBLUP genomic prediction",4,800,0.310000000000059
"312","Other",4,800,0
"313","Redundancy filtering",5,800,3.98000000000002
"314","Genetic regularization",5,800,16.2
"315","Residual regularization",5,800,17.4299999999999
"316","Factor model",5,800,0.540000000000077
"317","Factor scores",5,800,0.959999999999923
"318","Subset selection",5,800,0.00999999999999091
"319","gfBLUP genomic prediction",5,800,0.220000000000027
"320","Other",5,800,0.0199999999999818
"321","Redundancy filtering",1,900,4.67000000000007
"322","Genetic regularization",1,900,20.9400000000001
"323","Residual regularization",1,900,21.3099999999999
"324","Factor model",1,900,0.740000000000009
"325","Factor scores",1,900,1.17000000000007
"326","Subset selection",1,900,0.0299999999999727
"327","gfBLUP genomic prediction",1,900,0.169999999999845
"328","Other",1,900,0
"329","Redundancy filtering",2,900,4.78999999999996
"330","Genetic regularization",2,900,21.1400000000001
"331","Residual regularization",2,900,20.75
"332","Factor model",2,900,0.769999999999982
"333","Factor scores",2,900,1.14999999999986
"334","Subset selection",2,900,0.0199999999999818
"335","gfBLUP genomic prediction",2,900,0.170000000000073
"336","Other",2,900,0
"337","Redundancy filtering",3,900,5.04999999999995
"338","Genetic regularization",3,900,22.03
"339","Residual regularization",3,900,20.6100000000001
"340","Factor model",3,900,0.730000000000018
"341","Factor scores",3,900,1.25
"342","Subset selection",3,900,0.0199999999999818
"343","gfBLUP genomic prediction",3,900,0.149999999999864
"344","Other",3,900,0
"345","Redundancy filtering",4,900,4.83999999999992
"346","Genetic regularization",4,900,19.48
"347","Residual regularization",4,900,19.8900000000001
"348","Factor model",4,900,0.75
"349","Factor scores",4,900,1.18000000000006
"350","Subset selection",4,900,0.00999999999999091
"351","gfBLUP genomic prediction",4,900,0.159999999999854
"352","Other",4,900,0.0199999999999818
"353","Redundancy filtering",5,900,4.82999999999993
"354","Genetic regularization",5,900,19.25
"355","Residual regularization",5,900,21.22
"356","Factor model",5,900,0.730000000000018
"357","Factor scores",5,900,1.13999999999987
"358","Subset selection",5,900,0.0300000000002001
"359","gfBLUP genomic prediction",5,900,0.169999999999845
"360","Other",5,900,0
"361","Redundancy filtering",1,1000,6.19000000000005
"362","Genetic regularization",1,1000,24.1800000000001
"363","Residual regularization",1,1000,25.1299999999999
"364","Factor model",1,1000,1.1400000000001
"365","Factor scores",1,1000,1.48000000000002
"366","Subset selection",1,1000,0.0199999999999818
"367","gfBLUP genomic prediction",1,1000,0.200000000000045
"368","Other",1,1000,0.0199999999999818
"369","Redundancy filtering",2,1000,6
"370","Genetic regularization",2,1000,24.6900000000001
"371","Residual regularization",2,1000,24.8399999999999
"372","Factor model",2,1000,1.01999999999998
"373","Factor scores",2,1000,1.52999999999997
"374","Subset selection",2,1000,0.00999999999999091
"375","gfBLUP genomic prediction",2,1000,0.190000000000055
"376","Other",2,1000,0.0299999999999727
"377","Redundancy filtering",3,1000,6.03999999999996
"378","Genetic regularization",3,1000,25.24
"379","Residual regularization",3,1000,27.5599999999999
"380","Factor model",3,1000,1.01999999999998
"381","Factor scores",3,1000,1.46000000000004
"382","Subset selection",3,1000,0.0399999999999636
"383","gfBLUP genomic prediction",3,1000,0.180000000000064
"384","Other",3,1000,0.0200000000002092
"385","Redundancy filtering",4,1000,6.05999999999995
"386","Genetic regularization",4,1000,25
"387","Residual regularization",4,1000,25.5
"388","Factor model",4,1000,1.1099999999999
"389","Factor scores",4,1000,1.47000000000003
"390","Subset selection",4,1000,0.0299999999999727
"391","gfBLUP genomic prediction",4,1000,0.190000000000055
"392","Other",4,1000,0.0299999999999727
"393","Redundancy filtering",5,1000,6.07999999999993
"394","Genetic regularization",5,1000,24.8299999999999
"395","Residual regularization",5,1000,26.2800000000002
"396","Factor model",5,1000,1.04999999999995
"397","Factor scores",5,1000,1.55999999999995
"398","Subset selection",5,1000,0.0199999999999818
"399","gfBLUP genomic prediction",5,1000,0.200000000000045
"400","Other",5,1000,0.00999999999999091
"401","Redundancy filtering",1,1100,7.44000000000005
"402","Genetic regularization",1,1100,32.5
"403","Residual regularization",1,1100,31.6700000000001
"404","Factor model",1,1100,1.32999999999993
"405","Factor scores",1,1100,1.8599999999999
"406","Subset selection",1,1100,0.0299999999999727
"407","gfBLUP genomic prediction",1,1100,0.310000000000173
"408","Other",1,1100,0.00999999999999091
"409","Redundancy filtering",2,1100,7.36000000000013
"410","Genetic regularization",2,1100,33.72
"411","Residual regularization",2,1100,34.9099999999999
"412","Factor model",2,1100,1.31000000000017
"413","Factor scores",2,1100,1.94999999999982
"414","Subset selection",2,1100,0.040000000000191
"415","gfBLUP genomic prediction",2,1100,0.319999999999936
"416","Other",2,1100,0.00999999999999091
"417","Redundancy filtering",3,1100,7.45000000000005
"418","Genetic regularization",3,1100,33.6300000000001
"419","Residual regularization",3,1100,34.76
"420","Factor model",3,1100,1.31999999999994
"421","Factor scores",3,1100,1.95000000000005
"422","Subset selection",3,1100,0.0299999999999727
"423","gfBLUP genomic prediction",3,1100,0.3599999999999
"424","Other",3,1100,0.0299999999999727
"425","Redundancy filtering",4,1100,7.45000000000005
"426","Genetic regularization",4,1100,34.1900000000001
"427","Residual regularization",4,1100,34.4499999999998
"428","Factor model",4,1100,1.2800000000002
"429","Factor scores",4,1100,1.8599999999999
"430","Subset selection",4,1100,0.0299999999999727
"431","gfBLUP genomic prediction",4,1100,0.210000000000036
"432","Other",4,1100,0.0199999999999818
"433","Redundancy filtering",5,1100,7.38999999999987
"434","Genetic regularization",5,1100,32.1800000000001
"435","Residual regularization",5,1100,32.8400000000001
"436","Factor model",5,1100,1.30999999999995
"437","Factor scores",5,1100,1.88999999999987
"438","Subset selection",5,1100,0.0300000000002001
"439","gfBLUP genomic prediction",5,1100,0.210000000000036
"440","Other",5,1100,0.0299999999999727
"441","Redundancy filtering",1,1200,9.31999999999971
"442","Genetic regularization",1,1200,41.6900000000001
"443","Residual regularization",1,1200,43.02
"444","Factor model",1,1200,1.70000000000027
"445","Factor scores",1,1200,2.35999999999967
"446","Subset selection",1,1200,0.0300000000002001
"447","gfBLUP genomic prediction",1,1200,0.25
"448","Other",1,1200,0.0199999999999818
"449","Redundancy filtering",2,1200,9.15000000000009
"450","Genetic regularization",2,1200,40.25
"451","Residual regularization",2,1200,41.29
"452","Factor model",2,1200,1.72000000000025
"453","Factor scores",2,1200,2.32999999999993
"454","Subset selection",2,1200,0.0299999999997453
"455","gfBLUP genomic prediction",2,1200,0.200000000000273
"456","Other",2,1200,0.0299999999997453
"457","Redundancy filtering",3,1200,9.03999999999996
"458","Genetic regularization",3,1200,41.4099999999999
"459","Residual regularization",3,1200,43.0799999999999
"460","Factor model",3,1200,1.73000000000002
"461","Factor scores",3,1200,2.40999999999985
"462","Subset selection",3,1200,0.0300000000002001
"463","gfBLUP genomic prediction",3,1200,0.230000000000018
"464","Other",3,1200,0.0199999999999818
"465","Redundancy filtering",4,1200,9.11000000000013
"466","Genetic regularization",4,1200,40.4499999999998
"467","Residual regularization",4,1200,40.3600000000001
"468","Factor model",4,1200,1.73000000000002
"469","Factor scores",4,1200,2.30999999999995
"470","Subset selection",4,1200,0.0399999999999636
"471","gfBLUP genomic prediction",4,1200,0.210000000000036
"472","Other",4,1200,0.0199999999999818
"473","Redundancy filtering",5,1200,9.13999999999987
"474","Genetic regularization",5,1200,39
"475","Residual regularization",5,1200,41.6300000000001
"476","Factor model",5,1200,1.72000000000025
"477","Factor scores",5,1200,2.31999999999971
"478","Subset selection",5,1200,0.0399999999999636
"479","gfBLUP genomic prediction",5,1200,0.210000000000036
"480","Other",5,1200,0.0299999999997453
"481","Redundancy filtering",1,1300,10.9500000000003
"482","Genetic regularization",1,1300,49.4399999999996
"483","Residual regularization",1,1300,51.9200000000001
"484","Factor model",1,1300,2.19000000000005
"485","Factor scores",1,1300,2.82999999999993
"486","Subset selection",1,1300,0.0399999999999636
"487","gfBLUP genomic prediction",1,1300,0.140000000000327
"488","Other",1,1300,0.0199999999999818
"489","Redundancy filtering",2,1300,10.9199999999996
"490","Genetic regularization",2,1300,49.8900000000003
"491","Residual regularization",2,1300,51.0099999999998
"492","Factor model",2,1300,2.16000000000031
"493","Factor scores",2,1300,2.98999999999978
"494","Subset selection",2,1300,0.0300000000002001
"495","gfBLUP genomic prediction",2,1300,0.169999999999618
"496","Other",2,1300,0.0199999999999818
"497","Redundancy filtering",3,1300,10.8499999999999
"498","Genetic regularization",3,1300,49.9700000000003
"499","Residual regularization",3,1300,50.6599999999999
"500","Factor model",3,1300,2.07999999999993
"501","Factor scores",3,1300,2.87999999999965
